restaurant_name,michelin_distinction,rating,review_count,price_level,type,michelin
MayRee,Selected Restaurants,4.7,434.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Atla,bib,4.2,1225.0,PRICE_LEVEL_MODERATE,mexican_restaurant,1
Nami Nori,bib,4.4,1795.0,,sushi_restaurant,1
Yoshino,One Star,4.5,166.0,,sushi_restaurant,1
Minetta Tavern,Selected Restaurants,4.5,2792.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,1
Katz's,bib,4.5,52098.0,PRICE_LEVEL_MODERATE,deli,1
Bungalow,bib,4.4,2339.0,,indian_restaurant,1
The Commerce Inn,Selected Restaurants,4.4,452.0,,american_restaurant,1
Sushi Nakazawa New York,One Star,4.5,1934.0,PRICE_LEVEL_VERY_EXPENSIVE,sushi_restaurant,1
Ivan Ramen,Selected Restaurants,4.7,9196.0,PRICE_LEVEL_MODERATE,ramen_restaurant,1
Le Gigot,Selected Restaurants,4.6,301.0,PRICE_LEVEL_EXPENSIVE,french_restaurant,1
Little Myanmar,bib,4.1,311.0,PRICE_LEVEL_MODERATE,burmese_restaurant,1
Family Meal at Blue Hill,One Star,4.7,1339.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
Jeju Noodle Bar,One Star,4.6,3260.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
I Sodi,Selected Restaurants,4.2,1031.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Red Paper Clip,Selected Restaurants,4.3,277.0,,american_restaurant,1
Via Carota,Selected Restaurants,4.4,3233.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Secchu Yokota,Selected Restaurants,4.9,312.0,,japanese_restaurant,1
Loring Place,Selected Restaurants,4.6,1165.0,PRICE_LEVEL_EXPENSIVE,american_restaurant,1
Frevo,One Star,4.8,823.0,PRICE_LEVEL_VERY_EXPENSIVE,fine_dining_restaurant,1
Adda,Selected Restaurants,4.6,800.0,,indian_restaurant,1
Shmoné,One Star,4.2,555.0,,israeli_restaurant,1
CheLi,bib,4.5,1465.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Ariari,Selected Restaurants,4.6,541.0,PRICE_LEVEL_MODERATE,korean_restaurant,1
Soda Club,bib,4.6,496.0,,restaurant,1
Tuome,One Star,4.5,774.0,PRICE_LEVEL_MODERATE,fine_dining_restaurant,1
MáLà Project,bib,4.4,1419.0,PRICE_LEVEL_MODERATE,chinese_restaurant,1
Nudibranch,Selected Restaurants,4.7,466.0,,korean_restaurant,1
Moody Tongue Sushi,Selected Restaurants,4.3,220.0,,sushi_restaurant,1
Pylos,Selected Restaurants,4.6,836.0,PRICE_LEVEL_EXPENSIVE,greek_restaurant,1
Ruffian,bib,4.7,423.0,PRICE_LEVEL_MODERATE,wine_bar,1
Noreetuh,bib,4.6,784.0,PRICE_LEVEL_EXPENSIVE,hawaiian_restaurant,1
Avant Garden,Selected Restaurants,4.6,895.0,PRICE_LEVEL_EXPENSIVE,vegan_restaurant,1
Sobaya,bib,4.3,1192.0,PRICE_LEVEL_MODERATE,japanese_restaurant,1
Miss Lily’s,Selected Restaurants,4.3,1639.0,PRICE_LEVEL_MODERATE,restaurant,1
Claud,Selected Restaurants,4.2,386.0,,restaurant,1
Penny,Selected Restaurants,4.6,240.0,,seafood_restaurant,1
Superiority Burger,bib,4.3,1844.0,PRICE_LEVEL_INEXPENSIVE,vegetarian_restaurant,1
The Office of Mr. Moto,Selected Restaurants,4.5,189.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,1
4 Charles Prime Rib,Selected Restaurants,4.7,1146.0,PRICE_LEVEL_EXPENSIVE,steak_house,1
Smithereens,Selected Restaurants,4.5,153.0,,seafood_restaurant,1
Bar Miller,One Star,4.9,57.0,,japanese_restaurant,1
Tsukimi,One Star,4.6,136.0,,japanese_restaurant,1
Pranakhon,bib,4.8,3158.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Rosella,Selected Restaurants,4.7,397.0,,sushi_restaurant,1
Kubeh,Selected Restaurants,4.3,955.0,PRICE_LEVEL_MODERATE,middle_eastern_restaurant,1
Semma,One Star,4.2,1555.0,PRICE_LEVEL_MODERATE,south_indian_restaurant,1
HAGS,Selected Restaurants,4.8,135.0,,fine_dining_restaurant,1
Kanoyama,Selected Restaurants,4.3,654.0,PRICE_LEVEL_MODERATE,japanese_restaurant,1
Momofuku Noodle Bar,bib,4.5,5311.0,PRICE_LEVEL_MODERATE,ramen_restaurant,1
Al Badawi,Selected Restaurants,4.7,2232.0,PRICE_LEVEL_MODERATE,middle_eastern_restaurant,1
Bánh Anh Em,bib,4.4,385.0,,vietnamese_restaurant,1
Yellow Rose,bib,4.3,558.0,PRICE_LEVEL_MODERATE,tex_mex_restaurant,1
Bartolo,Selected Restaurants,4.3,103.0,,spanish_restaurant,1
Odre,bib,4.5,182.0,,korean_restaurant,1
Soothr,Selected Restaurants,4.7,5846.0,PRICE_LEVEL_MODERATE,thai_restaurant,1
Le B,Selected Restaurants,3.3,206.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Don Angie,Selected Restaurants,4.6,1743.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Kosaka,One Star,4.5,303.0,PRICE_LEVEL_VERY_EXPENSIVE,sushi_restaurant,1
Ishq,bib,4.6,495.0,,indian_restaurant,1
Bangkok Supper Club,Selected Restaurants,4.5,697.0,,thai_restaurant,1
Gage & Tollner,Selected Restaurants,4.3,1320.0,,american_restaurant,1
The Dining Room at The Guesthouse,Selected Restaurants,4.3,176.0,,restaurant,1
Saint Julivert Fisherie,Selected Restaurants,4.7,353.0,,seafood_restaurant,1
La Vara,Selected Restaurants,4.6,896.0,PRICE_LEVEL_EXPENSIVE,spanish_restaurant,1
Kanyakumari,Selected Restaurants,4.4,812.0,,south_indian_restaurant,1
Casa Mono,One Star,4.3,1896.0,PRICE_LEVEL_EXPENSIVE,spanish_restaurant,1
La Dong,bib,4.8,3339.0,PRICE_LEVEL_MODERATE,vietnamese_restaurant,1
Kyma,Selected Restaurants,4.4,1125.0,PRICE_LEVEL_EXPENSIVE,greek_restaurant,1
Sal Tang's,bib,4.3,112.0,,chinese_restaurant,1
Portale,Selected Restaurants,4.8,760.0,PRICE_LEVEL_EXPENSIVE,italian_restaurant,1
Genesis House Restaurant,Selected Restaurants,4.5,635.0,,korean_restaurant,1
abcV,Selected Restaurants,4.4,1736.0,PRICE_LEVEL_EXPENSIVE,vegetarian_restaurant,1
Oceans,Selected Restaurants,4.7,815.0,PRICE_LEVEL_VERY_EXPENSIVE,restaurant,1
Carlotto,Selected Restaurants,4.6,237.0,,restaurant,1
Oiji Mi,One Star,4.6,1234.0,,korean_restaurant,1
bōm,One Star,4.8,151.0,,korean_restaurant,1
Gramercy Tavern,One Star,4.6,4839.0,PRICE_LEVEL_VERY_EXPENSIVE,american_restaurant,1
Rezdôra,One Star,4.2,1655.0,,italian_restaurant,1
Noda,One Star,4.7,168.0,PRICE_LEVEL_VERY_EXPENSIVE,sushi_restaurant,1
odo,Two Stars,4.5,299.0,PRICE_LEVEL_VERY_EXPENSIVE,japanese_restaurant,1
Massara,Selected Restaurants,4.1,300.0,,italian_restaurant,1
Mile End,Selected Restaurants,4.4,1414.0,PRICE_LEVEL_MODERATE,sandwich_shop,1
Cosme,Selected Restaurants,4.3,3100.0,PRICE_LEVEL_VERY_EXPENSIVE,mexican_restaurant,1
La Devozione: The Oval,Selected Restaurants,4.0,748.0,,italian_restaurant,1
Untable,bib,4.8,200.0,,thai_restaurant,1
Gus's Chop House,Selected Restaurants,4.5,152.0,PRICE_LEVEL_MODERATE,restaurant,1
Crane Club,Selected Restaurants,4.4,257.0,,steak_house,1
Noz 17,One Star,4.4,113.0,,sushi_restaurant,1
Novitá,Selected Restaurants,4.5,619.0,PRICE_LEVEL_EXPENSIVE,restaurant,1
